Date,Open,High,Low,Close,Volume
2016-01-07,621.8,630.0,605.21,30.397,7074915
2016-01-08,619.66,624.14,606.0,30.3525,5512915
2016-01-11,612.48,619.85,598.57,30.887,4891551
2016-01-12,625.25,625.99,612.2415,30.8945,4724100
2016-01-13,620.88,620.88,579.16,29.0905,7655239
2016-01-14,580.25,602.25,569.88,29.65,7237978
2016-01-15,572.24,584.62,565.3,28.509,7784523
2016-01-19,577.09,584.0,566.45,28.724,4807165
2016-01-20,564.36,578.45,547.18,28.5885,7966406
2016-01-21,573.58,588.81,568.22,28.751,4952217
2016-01-22,588.73,600.1,584.1079,29.819,5120144
2016-01-25,597.99,608.5,594.56,29.8265,4396079
2016-01-26,603.45,604.5,590.38,30.0625,3765655
2016-01-27,601.99,603.39,578.78,29.1675,5152853
2016-01-28,608.37,638.06,597.55,31.7675,14015171
2016-01-29,571.98,593.0,570.0,29.35,14677550
2016-02-01,578.15,581.8,570.31,28.7405,6355123
2016-02-02,570.0,571.56,550.09,27.605,6312045
2016-02-03,553.5,556.0,521.9,26.5535,10048709
2016-02-04,525.0,538.99,519.2201,26.813,6199070
2016-02-05,529.28,529.45,499.19,25.1065,9708929
2016-02-08,486.47,493.5,475.21,24.405,9825509
2016-02-09,478.01,498.38,474.0,24.1035,7077915
2016-02-10,491.76,504.66,486.0,24.524,6786181
2016-02-11,491.17,509.3,484.0,25.191,7397393
2016-02-12,510.7,516.75,501.4932,25.354,5384787
2016-02-16,519.48,524.45,511.66,26.055,5118500
2016-02-17,528.74,537.48,519.39,26.705,4824002
2016-02-18,541.19,541.2,523.73,26.25,4735008
2016-02-19,520.71,535.95,515.35,26.745,4974717
2016-02-22,542.2,560.65,541.08,27.975,5566553
2016-02-23,555.55,556.91,545.33,27.647,4050790
2016-02-24,545.75,554.27,533.1501,27.702,6231668
2016-02-25,555.52,559.39,545.2946,27.7575,4525463
2016-02-26,560.12,562.5,553.17,27.7615,4877039
2016-02-29,554.0,564.81,552.51,27.626,4145396
2016-03-01,556.29,579.25,556.0,28.952,5038452
2016-03-02,581.75,585.0,573.7,29.0105,4582170
2016-03-03,577.96,579.866,573.11,28.8745,2741292
2016-03-04,581.07,581.4,571.065,28.757,3416545
2016-03-07,573.54,573.63,555.55,28.14,4932527
2016-03-08,557.87,571.35,554.74,28.013,4679663
2016-03-09,559.56,560.35,550.125,27.9735,4377283
2016-03-10,566.74,567.0,547.9,27.9465,3919892
