Date,Open,High,Low,Close,Volume
2024-07-31,5.9,5.93,5.76,28.9485,4654669
2024-08-01,5.73,5.76,5.52,28.1,42822504
2024-08-02,5.75,5.81,5.5301,27.8,12062755
2024-08-05,4.41,4.93,4.4,23.75,15705670
2024-08-06,4.9,5.07,4.83,25.25,8450718
2024-08-07,5.09,5.1099,4.85,24.3,6339571
2024-08-08,5.13,5.315,5.0401,26.35,4888823
2024-08-09,5.37,5.425,5.288,26.9,6640281
2024-08-12,5.29,5.385,5.13,26.2,3755995
2024-08-13,5.23,5.465,5.22,27.05,5349902
2024-08-14,5.39,5.4099,5.2061,26.1,4994680
2024-08-15,5.25,5.31,5.03,25.35,6240401
2024-08-16,5.2,5.32,5.1198,26.45,4314862
2024-08-19,5.22,5.2601,5.15,26.2,3103362
2024-08-20,5.37,5.41,5.195,26.4,4235703
2024-08-21,5.27,5.47,5.2237,27.35,7710726
2024-08-22,5.4,5.4059,5.33,26.7,5291001
2024-08-23,5.43,5.6699,5.395,28.25,12388163
2024-08-26,5.67,5.67,5.59,28.05,6209049
2024-08-27,5.53,5.5495,5.45,27.55,6943145
2024-08-28,5.32,5.325,5.13,26.15,12701042
2024-08-29,5.34,5.4284,5.224,26.25,7080446
2024-08-30,5.28,5.3056,5.12,26.0,8276992
2024-09-03,5.24,5.25,5.1,25.75,5396131
2024-09-04,5.01,5.19,4.9737,25.75,6027070
2024-09-05,5.02,5.08,4.94,24.85,10241738
2024-09-06,5.02,5.04,4.72,23.75,10021411
2024-09-09,4.91,5.075,4.855,25.35,7264231
2024-09-10,5.05,5.15,5.01,25.7,6135963
2024-09-11,5.05,5.1499,4.9221,25.55,7519723
2024-09-12,5.11,5.195,5.08,25.85,5012572
2024-09-13,5.12,5.33,5.11,26.5,7051997
2024-09-16,5.2,5.2,5.1,25.7,6050402
2024-09-17,5.25,5.445,5.22,26.6,6191836
2024-09-18,5.32,5.4477,5.245,26.65,6795536
2024-09-19,5.61,5.67,5.56,28.05,6630816
2024-09-20,5.59,5.6379,5.5301,27.9,10696974
2024-09-23,5.61,5.66,5.5915,28.05,5207646
2024-09-24,5.62,5.71,5.56,28.55,5744941
2024-09-25,5.63,5.68,5.58,28.0,4241196
2024-09-26,5.71,5.845,5.69,28.7,7510525
2024-09-27,5.82,5.91,5.8,29.1,5665004
2024-09-30,5.68,5.69,5.58,28.15,5920543
2024-10-01,5.62,5.63,5.41,27.4,7668484
2024-10-02,5.4,5.53,5.32,26.7,8690922
2024-10-03,5.36,5.42,5.31,27.05,4979537
2024-10-04,5.46,5.55,5.39,27.7,4912196
2024-10-07,5.6,5.72,5.5649,28.1,5076272
2024-10-08,5.56,5.61,5.4801,27.6,5994453
2024-10-09,5.49,5.53,5.385,27.0,5868876
2024-10-10,5.41,5.41,5.22,26.45,6222411
2024-10-11,5.45,5.63,5.44,28.05,6388873
2024-10-14,5.75,5.89,5.7301,29.25,10128804
2024-10-15,5.85,6.0363,5.75,29.7,12672959
2024-10-16,6.02,6.0699,5.955,30.05,8191023
2024-10-17,5.95,6.0078,5.91,29.6,8568232
2024-10-18,6.01,6.13,6.0051,30.4,6915882
2024-10-21,6.02,6.03,5.92,30.05,9505073
2024-10-22,5.95,6.0,5.9,29.9,6063050
2024-10-23,5.9,5.93,5.774,29.4,5817917
2024-10-24,6.0,6.06,5.964,30.3,5771049
2024-10-25,6.03,6.1095,5.84,29.6,12811692
2024-10-28,6.12,6.2,6.067895,30.85,14157649
2024-10-29,6.32,6.5393,6.29,32.2,14295001
2024-10-30,6.37,6.43,6.3316,31.85,8388841
2024-10-31,6.39,6.39,6.19,31.05,14148805
2024-11-01,6.23,6.351786,6.0924,30.7,12230158
2024-11-04,6.08,6.0995,5.955,29.85,11595318
2024-11-05,6.15,6.2559,6.095,30.8,10389499
2024-11-06,6.59,6.79,6.5201,33.8,13814523
2024-11-07,6.65,6.83,6.6101,34.0,13447149
2024-11-08,6.77,6.87,6.71,34.0,13026191
2024-11-11,7.27,7.77,7.2401,38.65,30185978
2024-11-12,7.64,7.99,7.56,39.8,31154554
2024-11-13,7.99,8.2999,7.92,39.85,27749686
2024-11-14,8.11,8.15,7.75,38.85,24410400
2024-11-15,7.93,8.13,7.78,40.6,21930552
2024-11-18,8.03,8.2202,7.955,40.65,19042144
2024-11-19,8.13,8.35,8.09,41.1,18159324
2024-11-20,41.97,42.14,41.37,41.84,1346728
2024-11-21,43.2,43.98,42.4,43.6,2695902
2024-11-22,43.34,44.29,43.12,44.05,2335251
2024-11-25,43.17,43.22,41.8408,42.16,2153158
2024-11-26,40.87,42.03,40.2,40.32,1696862
2024-11-27,41.93,43.22,41.8,42.93,1417620
2024-11-29,43.22,43.9,43.06,43.09,924449
2024-12-02,42.56,43.25,41.87,42.46,1129258
2024-12-03,41.79,42.7499,41.5089,42.42,662263
2024-12-04,42.54,44.05,41.95,43.94,1004905
2024-12-05,45.62,46.05,43.415,43.94,2164440
2024-12-06,44.1,45.3299,43.77,45.1,1523053
2024-12-09,43.96,44.57,42.6,42.63,1337894
2024-12-10,43.49,43.62,41.8,42.75,1019535
2024-12-11,43.78,45.15,43.68,44.94,1711960
2024-12-12,45.0,45.5,44.0045,44.34,1274659
2024-12-13,44.56,45.249,44.23,45.11,994957
2024-12-16,46.28,47.86,46.2501,46.94,2031277
2024-12-17,47.79,48.07,46.87,47.3,2938674
2024-12-18,46.4,46.54,44.29,44.6,4051885
2024-12-19,45.37,45.569,42.3101,42.67,2189690
2024-12-20,42.18,43.35,42.03,42.71,1428854
2024-12-23,42.28,42.35,40.92,41.21,1937040
2024-12-24,42.91,43.93,42.77,43.85,972318
2024-12-26,42.43,42.81,42.15,42.33,1009715
2024-12-27,42.68,42.7,41.31,41.82,1393410
2024-12-30,41.16,42.05,40.43,41.75,1169865
2024-12-31,42.45,42.64,41.27,41.87,1141901
2025-01-02,42.74,43.39,42.55,43.16,1559513
2025-01-03,43.07,43.93,42.85,43.6,1015604
2025-01-06,43.9,45.51,43.82,45.34,2727840
2025-01-07,44.67,44.7,42.56,42.74,2328681
2025-01-08,42.28,42.55,40.9339,41.61,1382794
2025-01-10,41.85,42.49,40.87,41.99,1430833
2025-01-13,40.28,41.56,39.52,41.49,1313318
2025-01-14,42.91,43.11,42.22669,42.77,784226
2025-01-15,43.76,44.67,43.7203,44.15,1218519
2025-01-16,44.07,44.635,43.12,44.51,1053082
2025-01-17,45.59,47.0391,45.4,46.43,1593064
2025-01-21,46.64,47.58,45.542,47.08,1616667
2025-01-22,46.39,46.61,45.78,46.26,1286731
2025-01-23,45.4,47.39,45.34,45.81,2903816
2025-01-24,46.71,47.56,46.42,46.51,1109262
2025-01-27,44.66,45.34,43.76,44.92,1749669
2025-01-28,45.47,45.99,44.83,44.87,752725
2025-01-29,45.29,46.4897,44.92,46.23,909442
2025-01-30,46.52,47.23,46.4312,46.54,729622
2025-01-31,46.44,47.03,44.96,45.01,1285560
2025-02-03,42.0,45.28,41.8605,44.86,2449241
2025-02-04,44.03,44.725,43.45,43.77,1358640
2025-02-05,43.77,43.9698,42.7733,43.14,789331
2025-02-06,43.59,43.87,42.41,42.96,862772
2025-02-07,44.21,44.44,42.38,42.42,988251
2025-02-10,43.29,43.4441,42.93,43.18,577581
2025-02-11,42.94,43.14,42.02,42.23,841198
2025-02-12,41.98,43.29,41.88,42.99,991371
2025-02-13,42.53,42.75,42.2,42.66,502137
2025-02-14,42.84,43.89,42.68,43.11,782281
2025-02-18,42.78,42.84,41.34,41.72,1095652
2025-02-19,42.71,42.84,42.26,42.63,617871
2025-02-20,43.34,43.78,42.9,43.66,652674
2025-02-21,43.94,44.05,41.95,42.02,1045240
2025-02-24,42.28,42.44,41.49,41.64,1240137
