Date,Open,High,Low,Close,Volume
2024-07-23,3.3,3.31,3.19,32.7,20130151
2024-07-24,3.27,3.27,3.16,31.7,31096152
2024-07-25,2.98,3.0,2.92,29.4,32041550
2024-07-26,3.04,3.1,3.03,30.8,36664526
2024-07-29,3.19,3.19,3.07,31.2,33673442
2024-07-30,3.16,3.1659,3.07,30.8,15546251
2024-07-31,3.14,3.16,3.0525,30.8,23857815
2024-08-01,3.0,3.01,2.9,29.4,17839568
2024-08-02,2.96,3.0,2.81,28.3,22080150
2024-08-05,2.09,2.38,2.06,22.7,41084063
2024-08-06,2.32,2.4099,2.28,23.5,19635016
2024-08-07,2.33,2.35,2.195,22.1,23363957
2024-08-08,2.33,2.4599,2.2747,24.3,19167592
2024-08-09,2.49,2.51,2.404,24.45,15556239
2024-08-12,2.53,2.5699,2.4435,25.1,16511002
2024-08-13,2.49,2.5766,2.48,25.5,11617727
2024-08-14,2.57,2.5799,2.48,25.1,13943906
2024-08-15,2.51,2.52,2.38,24.1,15087505
2024-08-16,2.45,2.48,2.405,24.8,10433529
2024-08-19,2.45,2.48,2.4127,24.6,7292655
2024-08-20,2.48,2.5,2.41,24.6,8292925
2024-08-21,2.44,2.5,2.39,25.0,10344663
2024-08-22,2.48,2.48,2.44,24.5,7633255
2024-08-23,2.51,2.6,2.48,25.9,13716833
2024-08-26,2.59,2.59,2.52,25.3,8331835
2024-08-27,2.48,2.48,2.41,24.4,8659482
2024-08-28,2.38,2.4,2.314,23.6,13592248
2024-08-29,2.43,2.45,2.365,23.8,7335684
2024-08-30,2.37,2.4,2.29,23.6,11278155
2024-09-03,2.36,2.365,2.29,23.0,9836457
2024-09-04,2.25,2.35,2.25,23.2,12665404
2024-09-05,2.25,2.2799,2.21,22.2,11084910
2024-09-06,2.25,2.26,2.08,20.9,14153990
2024-09-09,2.18,2.22,2.14,22.2,9701058
2024-09-10,2.21,2.26,2.19,22.4,7999250
2024-09-11,2.2,2.23,2.1403,22.0,10125801
2024-09-12,2.21,2.23,2.18,22.3,9064044
2024-09-13,2.22,2.29,2.21,22.8,10951377
