Date,Open,High,Low,Close,Volume
2018-01-02,177.68,181.58,177.55,180.317817874655,17694891
2018-01-03,181.88,184.78,181.33,183.548073128169,16595495
2018-01-04,184.9,186.21,184.1,183.210138732417,13554357
2018-01-05,185.59,186.9,184.93,185.714828959758,13042388
2018-01-08,187.2,188.9,186.33,187.136141271304,14719216
2018-01-09,188.7,188.8,187.1,186.728632147014,12342722
2018-01-10,186.94,187.89,185.63,186.698814406213,10464528
2018-01-11,188.4,188.4,187.38,186.629239677676,8855144
2018-01-12,178.06,181.48,177.4,178.280272253207,76645626
2018-01-16,181.5,181.75,178.04,177.306226053686,35027166
2018-01-17,179.26,179.32,175.8,176.521025545908,27356988
2018-01-18,178.13,180.98,177.08,178.707659871364,22783759
2018-01-19,180.85,182.37,180.17,180.188607664514,26266081
2018-01-22,180.8,185.39,180.41,184.243820413542,20567285
2018-01-23,186.05,189.55,185.55,188.19964069323,24956444
2018-01-24,189.89,190.66,186.52,185.416651551741,22992031
2018-01-25,187.95,188.62,186.6,186.341001516593,16698537
2018-01-26,187.75,190.0,186.81,188.845691743933,16652197
2018-01-29,188.75,188.84,185.63,184.850114476509,20022931
2018-01-30,187.62,188.18,181.84,185.983188626973,20382841
2018-01-31,188.37,189.83,185.22,185.754585947493,27299152
2018-02-01,188.22,195.32,187.89,191.916919046506,53608910
2018-02-02,192.04,194.21,189.98,189.123990658082,25514560
2018-02-05,186.93,190.61,180.61,180.158789923712,29852293
2018-02-06,178.57,185.77,177.74,184.184184931938,36829710
2018-02-07,184.15,185.08,179.95,179.085351254852,26891282
2018-02-08,181.01,181.84,171.48,170.537598891706,35672214
2018-02-09,174.76,176.9,167.18,175.040077752758,37214470
2018-02-12,177.06,177.55,171.84,175.338255160775,31697374
2018-02-13,175.62,175.97,173.1,172.098060660327,20880702
2018-02-14,173.45,179.81,173.21,178.429360957215,27963758
2018-02-15,180.5,180.5,176.84,178.866687822307,20554092
2018-02-16,178.99,179.88,176.3,176.282483619495,20475445
2018-02-20,175.77,177.95,175.11,174.940685283419,20887317
2018-02-21,176.71,181.27,176.4,176.829142200859,22844006
2018-02-22,178.7,180.21,177.41,177.902580869719,17085490
2018-02-23,179.9,183.39,179.51,182.176457051292,18621950
2018-02-26,184.58,185.66,183.22,183.80649354845,17418814
2018-02-27,184.45,184.7,181.46,180.35757486239,15649326
2018-02-28,182.3,182.88,178.14,177.236651325148,18208084
2018-03-01,179.01,180.12,174.41,174.871110554882,23201626
2018-03-02,173.29,177.11,172.99,175.546979346387,20025905
2018-03-05,176.2,181.15,175.89,179.304014687398,16189280
2018-03-06,181.78,182.38,179.11,178.687781377496,15086784
2018-03-07,178.74,183.82,178.07,182.593905422516,19097293
2018-03-08,183.56,184.4,181.45,181.232228592573,15336555
2018-03-09,183.91,185.51,183.21,184.104670956467,17952177
2018-03-12,185.23,186.1,184.22,183.637526350574,14873538
2018-03-13,185.61,185.99,181.11,180.775023233614,17742312
2018-03-14,182.6,184.25,181.85,183.070989275342,16426843
2018-03-15,183.24,184.0,182.19,182.742994126524,15461869
2018-03-16,184.49,185.33,183.41,183.965521499393,23090480
2018-03-19,177.01,177.17,170.06,171.511645091227,86897749
2018-03-20,167.47,170.2,161.95,167.128437193381,128925534
2018-03-21,164.8,173.4,163.3,168.360903813183,105350867
2018-03-22,166.13,170.27,163.72,163.888242692932,73389988
2018-03-23,165.44,166.6,159.02,158.421656879292,52306891
2018-03-26,160.82,161.1,149.02,159.087586423863,125438294
2018-03-27,156.31,162.85,150.75,151.295216827692,76787884
2018-03-28,151.65,155.88,150.8,152.100295829337,60029170
2018-03-29,155.15,161.42,154.14,158.819226756648,59434293
