Date,Open,High,Low,Close,Volume
2016-01-07,1.73,1.81,1.65,8.45,1682510
2016-01-08,1.74,1.787,1.69,8.5,1072179
2016-01-11,1.73,1.75,1.5,8.25,1398719
2016-01-12,1.66,1.72,1.6,8.25,543847
2016-01-13,1.7,1.7199,1.59,8.15,582596
2016-01-14,1.62,1.66,1.5,8.25,569406
2016-01-15,1.55,1.6,1.45,7.3,799611
2016-01-19,1.5,1.51,1.42,7.3,613767
2016-01-20,1.44,1.44,1.31,7.0,912084
2016-01-21,1.4,1.49,1.4,7.35,647050
2016-01-22,1.54,1.57,1.51,7.75,348653
2016-01-25,1.5,1.54,1.46,7.45,329131
2016-01-26,1.52,1.57,1.47,7.7,436370
2016-01-27,1.55,1.55,1.5,7.65,281014
2016-01-28,1.55,1.55,1.47,7.55,267963
2016-01-29,1.52,1.57,1.52,7.85,210360
2016-02-01,1.53,1.57,1.48,7.6,222810
2016-02-02,1.5,1.5,1.39,7.0,466067
2016-02-03,1.4,1.45,1.33,7.2,467127
2016-02-04,1.44,1.5,1.39,7.2,332858
2016-02-05,1.45,1.46,1.3944,7.2,197934
2016-02-08,1.44,1.44,1.32,6.9,359127
2016-02-09,1.33,1.35,1.27,6.5,449385
2016-02-10,1.29,1.31,1.25,6.3,301681
2016-02-11,1.26,1.28,1.18,6.1,402431
2016-02-12,1.19,1.26,1.18,6.3,439470
2016-02-16,1.27,1.33,1.25,6.45,480922
2016-02-17,1.31,1.38,1.31,6.9,382444
2016-02-18,1.38,1.41,1.3443,6.9,366691
2016-02-19,1.39,1.42,1.38,7.1,301100
2016-02-22,1.43,1.48,1.414,7.35,208481
2016-02-23,1.45,1.47,1.4,7.1,163638
2016-02-24,1.42,1.45,1.38,7.25,150601
2016-02-25,1.44,1.46,1.4,7.3,122966
2016-02-26,1.46,1.47,1.42,7.2,229655
2016-02-29,1.44,1.46,1.4,7.2,218357
2016-03-01,1.45,1.46,1.43,7.15,70339
2016-03-02,1.43,1.46,1.43,7.3,222864
2016-03-03,1.45,1.5,1.45,7.5,275417
2016-03-04,1.51,1.52,1.45,7.25,364836
2016-03-07,1.44,1.48,1.41,7.3,319392
2016-03-08,1.53,1.54,1.44,7.25,515782
2016-03-09,1.45,1.48,1.38,7.05,366617
2016-03-10,1.41,1.42,1.389,6.95,233936
2016-03-11,1.4,1.42,1.38,7.0,163368
2016-03-14,1.42,1.54,1.4008,7.35,795707
2016-03-15,1.48,1.52,1.47,7.45,349523
2016-03-16,1.51,1.51,1.47,7.4,200074
2016-03-17,1.48,1.51,1.45,7.3,229885
2016-03-18,1.48,1.51,1.47,7.55,530729
2016-03-21,1.5,1.5075,1.47,7.45,439693
2016-03-22,1.49,1.51,1.46,7.45,237870
2016-03-23,1.48,1.49,1.41,7.15,560155
2016-03-24,1.43,1.43,1.4,7.0,239515
2016-03-28,1.4,1.44,1.35,6.8,498024
2016-03-29,1.35,1.42,1.33,7.05,280142
2016-03-30,1.42,1.45,1.42,7.2,333658
2016-03-31,1.43,1.45,1.43,7.2,171414
2016-04-01,1.42,1.42,1.4,7.05,219360
2016-04-04,1.42,1.42,1.38,7.0,236042
2016-04-05,1.39,1.44,1.38,6.95,229859
2016-04-06,1.4,1.41,1.36,6.9,297751
2016-04-07,1.37,1.39,1.35,6.8,260982
2016-04-08,1.36,1.39,1.35,6.8,186888
2016-04-11,1.37,1.39,1.36,6.85,135634
2016-04-12,1.38,1.38,1.33,6.9,259456
2016-04-13,1.37,1.45,1.36,7.05,312999
2016-04-14,1.4,1.43,1.4,7.1,127761
2016-04-15,1.41,1.41,1.37,6.85,233551
2016-04-18,1.37,1.4,1.35,6.9,294016
2016-04-19,1.39,1.44,1.37,6.95,349087
2016-04-20,1.39,1.45,1.39,7.2,314220
2016-04-21,1.45,1.45,1.43,7.25,154749
2016-04-22,1.44,1.46,1.43,7.3,300715
2016-04-25,1.44,1.46,1.39,7.05,137330
2016-04-26,1.42,1.45,1.4001,7.05,147713
2016-04-27,1.41,1.45,1.39,7.05,103172
2016-04-28,1.39,1.42,1.38,7.0,123589
2016-04-29,1.41,1.41,1.35,6.9,297702
2016-05-02,1.38,1.39,1.31,6.55,395464
2016-05-03,1.31,1.32,1.23,6.3,544617
2016-05-04,1.26,1.29,1.22,6.3,325517
2016-05-05,1.27,1.27,1.23,6.15,211357
2016-05-06,1.23,1.25,1.21,6.1,277071
2016-05-09,1.2,1.23,1.17,6.05,281153
2016-05-10,1.2,1.23,1.19,6.0,180078
2016-05-11,1.2,1.28,1.2,6.3,280260
2016-05-12,1.27,1.27,1.21,6.1,103847
2016-05-13,1.21,1.22,1.19,6.1,134053
2016-05-16,1.23,1.25,1.2,6.15,231200
2016-05-17,1.23,1.28,1.2276,6.25,250118
2016-05-18,1.26,1.26,1.23,6.25,58049
2016-05-19,1.25,1.26,1.19,6.0,540987
2016-05-20,1.21,1.26,1.19,6.15,747098
2016-05-23,1.37,1.45,1.35,7.1,1572988
2016-05-24,1.4,1.43,1.36,6.85,525324
2016-05-25,1.38,1.41,1.37,6.9,395878
2016-05-26,1.39,1.41,1.38,7.05,197894
2016-05-27,1.39,1.42,1.33,6.75,369538
2016-05-31,1.34,1.38,1.3229,6.8,189025
2016-06-01,1.36,1.362,1.32,6.7,134439
2016-06-02,1.33,1.35,1.31,6.6,144172
2016-06-03,1.33,1.34,1.3,6.5,195315
2016-06-06,1.32,1.38,1.3001,6.75,230586
2016-06-07,1.37,1.421,1.37,6.85,449456
2016-06-08,1.4,1.405,1.38,6.95,203088
2016-06-09,1.39,1.41,1.35,6.75,118301
2016-06-10,1.36,1.37,1.28,6.5,364881
2016-06-13,1.27,1.32,1.2601,6.5,209311
2016-06-14,1.31,1.33,1.27,6.4,228639
2016-06-15,1.27,1.32,1.25,6.3,399206
2016-06-16,1.26,1.29,1.25,6.4,33106
2016-06-17,1.28,1.31,1.25,6.25,73306
2016-06-20,1.25,1.29,1.25,6.375,120401
2016-06-21,1.28,1.29,1.24,6.3,221336
2016-06-22,1.26,1.28,1.225,6.2,237915
2016-06-23,1.25,1.26,1.23,6.2,339294
2016-06-24,1.13,1.21,1.125,5.95,1825658
2016-06-27,1.19,1.2,1.12,6.0,517817
2016-06-28,1.2,1.24,1.2,6.0,145966
2016-06-29,1.2,1.22,1.2,6.0,176538
2016-06-30,1.19,1.24,1.19,6.2,160419
2016-07-01,1.24,1.26,1.23,6.15,168422
2016-07-05,1.23,1.2399,1.17,5.95,234546
2016-07-06,1.19,1.23,1.19,6.1,154571
2016-07-07,1.23,1.25,1.2,6.0,59140
2016-07-08,1.19,1.24,1.19,6.15,124772
2016-07-11,1.24,1.27,1.239,6.25,242262
2016-07-12,1.26,1.28,1.25,6.25,151484
2016-07-13,1.23,1.23,1.2,6.05,61762
2016-07-14,1.21,1.24,1.21,6.2,30977
2016-07-15,1.25,1.25,1.21,6.25,238253
2016-07-18,1.23,1.25,1.23,6.2,138124
2016-07-19,1.25,1.25,1.23,6.25,96542
2016-07-20,1.25,1.28,1.22,6.35,273011
2016-07-21,1.27,1.28,1.21,6.15,189378
2016-07-22,1.22,1.25,1.21,6.05,87557
2016-07-25,1.21,1.25,1.19,6.1,257488
2016-07-26,1.2,1.23,1.2,6.05,80493
2016-07-27,1.2,1.22,1.19,6.0,122708
2016-07-28,1.2,1.22,1.19,6.0,74423
2016-07-29,1.21,1.21,1.18,6.0,178632
2016-08-01,1.2,1.28,1.18,6.25,551593
2016-08-02,1.25,1.25,1.21,6.15,74267
2016-08-03,1.24,1.24,1.17,6.0,391706
2016-08-04,1.21,1.2199,1.18,6.05,101839
2016-08-05,1.18,1.23,1.18,6.1,93915
2016-08-08,1.21,1.24,1.2,6.1,148369
2016-08-09,1.21,1.23,1.2,6.0,140028
2016-08-10,1.18,1.21,1.18,5.95,231933
2016-08-11,1.19,1.21,1.18,6.0,261462
2016-08-12,1.19,1.2,1.18,5.95,101837
2016-08-15,1.18,1.23,1.18,6.1,184624
2016-08-16,1.21,1.24,1.2,6.1,241954
2016-08-17,1.2,1.24,1.2,6.1,186600
2016-08-18,1.23,1.25,1.23,6.15,216151
2016-08-19,1.23,1.25,1.22,6.15,252652
2016-08-22,1.23,1.25,1.23,6.25,235362
2016-08-23,1.27,1.28,1.25,6.35,601768
2016-08-24,1.17,1.2501,1.17,6.15,1950336
2016-08-25,1.2,1.24,1.2,6.05,592579
2016-08-26,1.21,1.23,1.18,5.9,319794
2016-08-29,1.19,1.2,1.17,5.9,208601
2016-08-30,1.19,1.21,1.18,5.9,274807
2016-08-31,1.19,1.19,1.127,5.8,451629
2016-09-01,1.15,1.18,1.14,5.85,275701
2016-09-02,1.16,1.18,1.14,5.7,341746
2016-09-06,1.25,1.25,1.12,5.7,347713
2016-09-07,1.13,1.14,1.08,5.45,488098
2016-09-08,1.09,1.12,1.07,5.5,216341
2016-09-09,1.1,1.12,1.05,5.25,486756
2016-09-12,1.05,1.054,1.03,5.25,446297
2016-09-13,1.04,1.0475,1.02,5.15,460075
2016-09-14,1.02,1.02,1.0,5.0,613317
2016-09-15,1.0,1.0037,0.98,4.975,280967
2016-09-16,1.02,1.04,0.98,4.9,780100
2016-09-19,0.98,1.01,0.962,4.8995,129821
2016-09-20,0.9799,0.9963,0.95,4.7565,278414
2016-09-21,0.95,0.9742,0.95,4.81,227575
2016-09-22,0.9845,1.04,0.9845,5.05,402868
2016-09-23,1.0,1.04,0.99,5.0,199480
2016-09-26,1.02,1.03,1.0,5.05,215795
2016-09-27,0.9474,1.03,0.9474,5.1,114384
2016-09-28,1.03,1.05,1.01,5.1,312563
2016-09-29,1.02,1.05,1.02,5.15,362386
2016-09-30,1.03,1.06,1.01,5.05,348643
2016-10-03,1.03,1.03,1.01,5.15,132643
2016-10-04,1.02,1.04,1.0,5.1,178800
2016-10-05,1.02,1.05,1.01,5.2,175755
2016-10-06,1.1,1.11,1.04,5.2,490778
2016-10-07,1.05,1.06,1.01,5.15,194630
2016-10-10,1.02,1.05,1.01,5.15,81193
2016-10-11,1.02,1.04,1.01,5.05,151117
2016-10-12,1.02,1.02,0.98,4.9955,361527
2016-10-13,0.9701,0.996,0.9701,4.9195,141042
2016-10-14,0.96,1.01,0.96,5.0,245762
2016-10-17,0.99,1.0,0.97,4.8755,85347
2016-10-18,0.974,0.99,0.9701,4.851,131291
2016-10-19,0.96,1.0,0.96,4.9015,184101
2016-10-20,0.9899,1.02,0.9767,5.1,129085
2016-10-21,1.09,1.09,0.98,4.92,222490
2016-10-24,1.0,1.0084,0.98,4.9135,49062
2016-10-25,0.9877,0.996,0.97,4.8505,107842
2016-10-26,0.9736,0.98,0.96,4.8105,182599
2016-10-27,0.9611,0.98,0.96,4.8005,119815
2016-10-28,0.9661,0.9999,0.926,4.7215,211916
2016-10-31,0.9401,1.0,0.94,4.75,208184
2016-11-01,0.95,0.9696,0.926,4.6305,193598
2016-11-02,0.9261,0.94,0.91,4.5585,197850
2016-11-03,0.91,0.9199,0.8632,4.478,239174
2016-11-04,0.8701,0.9,0.868,4.4515,140908
2016-11-07,0.89,0.93,0.88,4.5355,206652
2016-11-08,0.9011,0.9051,0.85,4.3515,204763
2016-11-09,0.86,0.86,0.7501,4.201,841959
2016-11-10,0.8201,0.8402,0.7015,3.9545,506612
2016-11-11,0.7905,0.814,0.7698,4.0255,118638
2016-11-14,0.7934,0.84,0.7934,4.132,206387
2016-11-15,0.8099,0.8299,0.8,4.0025,256092
2016-11-16,0.8001,0.8171,0.78,3.9395,360326
2016-11-17,0.78,0.7878,0.7236,3.818,725598
2016-11-18,0.76,0.7755,0.7325,3.8,469762
2016-11-21,0.7495,0.769,0.744,3.803,293566
2016-11-22,0.77,0.784,0.752,3.825,322112
2016-11-23,0.76,0.7998,0.7526,3.9335,337527
2016-11-25,0.7756,0.7998,0.7696,3.85,222333
2016-11-28,0.77,0.7903,0.75,3.786,613232
2016-11-29,0.72,0.7498,0.65,3.695,925623
2016-11-30,0.723,0.75,0.72,3.671,621117
2016-12-01,0.721,0.7243,0.6677,3.448,652626
2016-12-02,0.678,0.7,0.678,3.4505,360001
2016-12-05,0.68,0.7706,0.678,3.849,698827
2016-12-06,0.795,0.8,0.723,3.7225,577371
2016-12-07,0.7501,0.82,0.73,3.901,1415136
2016-12-08,0.8112,0.8112,0.731,3.683,567776
2016-12-09,0.76,0.77,0.6994,3.522,776728
2016-12-12,0.6931,0.715,0.6548,3.2875,777378
2016-12-13,0.6581,0.6972,0.6414,3.399,748552
2016-12-14,0.6679,0.68,0.6269,3.2375,561469
2016-12-15,0.642,0.68,0.62,3.19,736793
2016-12-16,0.62,0.66,0.62,3.2275,471871
2016-12-19,0.6685,0.709,0.61,3.4745,765460
2016-12-20,0.6899,0.699,0.66,3.4495,422410
2016-12-21,0.6811,0.708,0.6656,3.425,499969
2016-12-22,0.6781,0.6835,0.66,3.308,287386
2016-12-23,0.6499,0.66,0.64,3.25,170438
2016-12-27,0.6501,0.67,0.65,3.299,375316
2016-12-28,0.65,0.6698,0.65,3.3,381806
2016-12-29,0.6601,0.6699,0.63,3.1515,1081548
2016-12-30,0.63,0.64,0.62,3.1985,489679
2017-01-03,0.6604,0.7,0.6501,3.2585,477576
2017-01-04,0.6777,0.68,0.655,3.2755,475671
2017-01-05,0.6601,0.68,0.6502,3.297,411612
2017-01-06,0.64,0.668,0.64,3.234,294518
2017-01-09,0.67,0.67,0.6537,3.3005,96743
2017-01-10,0.6521,0.6674,0.64,3.3055,315712
